Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_20_06_17_848	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_286	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_39	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_504	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_61	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_718	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_831	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_18_946	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_05	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_157	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_265	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_376	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_487	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_595	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_708	virtual	virtual	0.0549	0.0019	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_816	virtual	virtual	0.0500	-0.0040	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_19_927	virtual	virtual	0.0525	-0.0010	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_20_038	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_20_145	virtual	virtual	0.0452	-0.0098	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_20_254	virtual	virtual	0.0549	0.0019	2	1.0	0.50	1	1.0	0.50	virtual flow
