Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_21_07_46_461	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_46_566	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_46_672	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_46_781	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_46_898	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_003	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_117	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_227	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_336	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_444	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_552	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_659	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_768	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_883	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_47_986	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_098	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_204	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_32	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_426	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_533	virtual	virtual	0.0659	0.0151	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_648	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_752	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_864	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_48_971	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_084	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_189	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_299	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_407	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_522	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_63	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_742	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_85	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_49_961	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_50_064	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_50_175	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_50_287	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_21_07_50_393	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_50_503	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	0.000
