Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_13_30_31_242	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_351	virtual	virtual	1.3879	1.6015	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_457	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_57	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_68	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_788	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_31_895	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_007	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_119	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_227	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_336	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_442	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_554	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_882	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_32_987	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_1	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_21	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_518	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_541	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_649	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_752	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_868	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_33_977	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_086	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_195	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_305	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_413	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_52	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_627	virtual	virtual	1.4014	1.6176	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_741	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_852	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_34_96	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_35_074	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_13_30_35_179	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_287	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_4	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_51	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_613	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_722	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_833	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_35_945	virtual	virtual	1.3965	1.6118	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_052	virtual	virtual	1.3965	1.6118	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_161	virtual	virtual	1.3965	1.6118	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_272	virtual	virtual	1.3940	1.6088	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_384	virtual	virtual	1.3940	1.6088	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_489	virtual	virtual	1.3904	1.6044	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_603	virtual	virtual	1.3965	1.6118	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_707	virtual	virtual	1.3989	1.6147	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_821	virtual	virtual	1.4014	1.6176	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_36_926	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_038	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_146	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_256	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_371	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_476	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_583	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_695	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_807	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_37_912	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_025	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_129	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_238	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_353	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_462	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_57	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_679	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_786	virtual	virtual	1.4014	1.6176	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_38_899	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_007	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_115	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_225	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_336	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_443	virtual	virtual	1.3989	1.6147	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_554	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_662	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_772	virtual	virtual	1.3965	1.6118	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_882	virtual	virtual	1.3904	1.6044	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_13_30_39_991	virtual	virtual	1.3940	1.6088	1	1.0	0.50	1	1.0	0.50	0.000
