Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_27_14_55_06_129	7.356	6.60	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_24	7.356	6.60	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_353	7.356	6.60	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_457	7.347	6.49	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_57	7.354	6.57	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_675	7.356	6.60	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_786	7.345	6.46	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_06_899	7.356	6.60	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_004	7.329	6.26	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_119	7.340	6.40	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_227	7.335	6.34	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_337	7.347	6.49	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_441	7.322	6.17	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_554	7.361	6.66	0.0427	-0.0127	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_66	7.361	6.66	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_769	7.345	6.46	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_881	7.372	6.80	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_07_993	7.363	6.69	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_099	7.335	6.34	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_206	7.343	6.43	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_319	7.329	6.26	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_427	7.347	6.49	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_534	7.356	6.60	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_644	7.354	6.57	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_752	7.345	6.46	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_867	7.347	6.49	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_08_977	7.345	6.46	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_082	7.347	6.49	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_195	7.356	6.60	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_301	7.350	6.52	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_41	7.347	6.49	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_522	7.354	6.57	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_628	7.340	6.40	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_739	7.347	6.49	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_27_14_55_09_849	7.335	6.34	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
